,Restaurants Name,Address,Mob. Number,Website url,Location link
11,Blue Ribbon Brasserie,"97 Sullivan St, New York, NY 10012, United States",+1 212-274-0404,https://www.blueribbonbrasserie.com/,"https://www.google.com/maps/dir//Blue+Ribbon+Brasserie,+97+Sullivan+St,+New+York,+NY+10012,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c2598db0d02841:0x7e74186ef34e5fbb?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIChAA"
12,Vestry,"246 Spring St, New York, NY 10013, United States",+1 212-784-1350,https://www.vestrynyc.com/,"https://www.google.com/maps/dir//Vestry,+246+Spring+St,+New+York,+NY+10013,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c2594a7ff7b595:0xb18bcc9a41de648?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIDBAA"
13,Le Bernardin,"155 W 51st St, New York, NY 10019, United States",+1 212-554-1515,https://www.le-bernardin.com/home,"https://www.google.com/maps/dir//Le+Bernardin,+155+W+51st+St,+New+York,+NY+10019,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c25947ea10b457:0x6548e99cd73a1e6b?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQICBAA"
14,DK Restaurant NYC,"207 W 36th St., New York, NY 10001, United States",+1 212-695-5220,http://dkrestaurantnyc.com/,"https://www.google.com/maps/dir//DK+Restaurant+NYC,+207+W+36th+St.,+New+York,+NY+10001,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259ac6a4cc1ed:0xb0a57c53202e0c8b?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIAhAA"
15,Prune,"54 E 1st St, New York, NY 10003, United States",+1 212-677-6221,http://www.prunerestaurant.com/,"https://www.google.com/maps/dir//Prune,+54+E+1st+St,+New+York,+NY+10003,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259848765ee05:0x92b1500a3a7c4906?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIDRAA"
16,COTE Korean Steakhouse,"16 W 22nd St, New York, NY 10010, United States",+1 212-401-7986,https://www.cotenyc.com/,"https://www.google.com/maps/dir//COTE+Korean+Steakhouse,+16+W+22nd+St,+New+York,+NY+10010,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259a384775443:0x4ad3dc8a6c30ce40?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIARAA"
17,Family Meal at Blue Hill,"75 Washington Pl, New York, NY 10011, United States",+1 212-539-1776,https://www.bluehillfarm.com/,"https://www.google.com/maps/dir//Family+Meal+at+Blue+Hill,+75+Washington+Pl,+New+York,+NY+10011,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259914454d08b:0xdb5d5d0c22afca0d?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIBhAA"
18,Oceana,"120 W 49th St, New York, NY 10020, United States",+1 212-759-5941,https://www.oceanarestaurant.com/,"https://www.google.com/maps/dir//Oceana,+120+W+49th+St,+New+York,+NY+10020,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c258ff4b8e84df:0x9fb5bdd435e9f5ee?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQICRAA"
19,Cosme,"35 E 21st St, New York, NY 10010, United States",+1 212-913-9659,http://www.cosmenyc.com/,"https://www.google.com/maps/dir//Cosme,+35+E+21st+St,+New+York,+NY+10010,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c259a16418e84f:0x3532988b2d0befec?sa=X&ved=2ahUKEwit99Px1IqEAxX9k1YBHcxQB3oQ48ADegQIBRAA"
20,Cosme,"35 E 21st St, New York, NY 10010, United States",+1 212-913-9659, , 
